c1,c2,,
v,"Ey /po/, one of the new Pokemon from Pokemon Sun and Moon version is Kartana. It looks like this. Can you make it in real life with origami, and if so, how?

-/vp/",,
v,"It's possible, but you'd need a rather large square and there would be quite a bit of paper wasted on the premise that this thing has too many long limb like flaps.

Either that, or you make it from several sheets.",,
v,"Cortana is an computer program, not a pokemon. There's no way you can actually make it in origami form.

(for an serious answer, yes.)",,
x,"(REPLY) >>547857

Yeah, orange white and yellow is difficult to work with.",,
v,Someone should do a modular model for this,,
x,Looks like a couple of people have now,,
v,No Instructions for either of them though that I'm aware of,,
v,"Of course they are, like 3 weeks now on the net, a Kartana papercraft PDO file on the net, just use google people, is it that hard?",,
v,"(REPLY) >>548355
w2c those oragami gloves",,
v,"(REPLY) >>548355
>>548356
>>548362

Origami is not the same as papercraft. Those are papercraft, we are discuting origami",,
v,"(REPLY) >>547797
http://www.mediafire.com/file/mby96tp6cndcdbr/UB+04+BLADE+KARTANA.rar
papercraft instructions 

>>548417
I bet that OP meant papercraft. Most people think that origami means anything with paper.",,
v,"(REPLY) >>548355
Awesome. It would have been the worst waste of potential if this hadn't happened.
I mean Pokemon literally made this for /po/.",,
v,"(REPLY) >>548417
Origami means papercraft in chinese",,
v,"(REPLY) >>548533
triggered
It means folding paper in japanese",,
x,Hands down best pokemon,,
x,"(REPLY) >>549681

Isn't is a super beast?",,
x,You need to do bird base.,,
v,I dub thee: /po/kemon!,,
x,"(REPLY) >>550978
Ultra Beast. Don't know where super came from on your comment...",,
v,I wonder if you could also do Necrozma with Papercraft since it's so angular,,
v,"(REPLY) >>553341

Agreed, It was a /po/or joke.",,
x,Wow,,
x,"(REPLY) >>554083
nice",,
v,Hope to see papercrafts of the new Necrozma forms or whatever they are though the Solgaleo and Lunala bits aren't so angular so it could be more trouble than it's worth,,
x,Has anyone made a glass sculpture of a nihilego,,
v,"(REPLY) >>551586
>>>/po/kemon",,
x,">First Kartana in Pokemon
>Now Nintendo Labo
IT KEEPS HAPPENING",,
v,I wouldn't mind a Celesteela one to go with my other pokemon papercrafts. Making the palettes would be a bitch though.,,
x,We need to save some ancient threads here. Keep bumping so they won't go under.,,
v,"(REPLY) >>560301
Also save the designs so we can repost/make a new thread that's /po/ related",,
x,Isn't this just the new mecha from Darling in the Franxx,,
v,"(REPLY) >>547977
You just have to fold it in pure white, then color it in afterwards.",,
x,I heared that is a trend in Japan and it's used for Good Luck. They look exactly like Kartana,,
v,"(REPLY) >>547856

Is it considered poor sport to use multiple sheets in origami?",,
v,"(REPLY) >>547797
Wow, I am the first post in April 2018, awesome.

Happy April Fools day /po/",,
x,This is probably the oldest non-mod posted thread on 4chan right now. Pretty cool if you ask me.,,
